City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Atuona,PF,2021-11-08 05:39:45,-9.8,-139.0333,78.15,77,8,17.38
1,Ishigaki,JP,2021-11-08 05:39:45,24.3448,124.1572,69.93,88,75,18.41
2,Ushuaia,AR,2021-11-08 05:39:46,-54.8,-68.3,40.66,81,40,9.22
3,Pocoes,BR,2021-11-08 05:39:46,-14.5297,-40.3653,67.32,91,100,3.38
4,Bethel,US,2021-11-08 05:39:46,41.3712,-73.414,49.01,74,1,0.0
5,Kaitangata,NZ,2021-11-08 05:39:47,-46.2817,169.8464,62.92,78,95,5.48
6,Cape Town,ZA,2021-11-08 05:38:47,-33.9258,18.4232,64.11,68,20,4.0
7,Invermere,CA,2021-11-08 05:39:47,50.5167,-116.0354,31.03,82,64,7.94
8,Namatanai,PG,2021-11-08 05:39:47,-3.6667,152.4333,85.03,63,84,12.03
9,Murmashi,RU,2021-11-08 05:39:48,68.8154,32.8115,21.61,93,0,2.24
10,Albany,US,2021-11-08 05:38:54,42.6001,-73.9662,40.8,77,10,3.69
11,Rikitea,PF,2021-11-08 05:39:48,-23.1203,-134.9692,74.93,79,100,8.93
12,Nanortalik,GL,2021-11-08 05:39:48,60.1432,-45.2371,30.31,64,100,3.11
13,Jamestown,US,2021-11-08 05:39:49,42.097,-79.2353,47.71,85,1,0.0
14,Bredasdorp,ZA,2021-11-08 05:39:49,-34.5322,20.0403,58.32,72,73,3.44
15,Portland,US,2021-11-08 05:35:47,45.5234,-122.6762,47.75,91,90,3.0
16,Tuktoyaktuk,CA,2021-11-08 05:39:03,69.4541,-133.0374,21.2,79,90,8.05
17,Grindavik,IS,2021-11-08 05:39:50,63.8424,-22.4338,41.47,93,90,37.98
18,Weyburn,CA,2021-11-08 05:39:50,49.6668,-103.8511,34.02,55,0,6.91
19,Narsaq,GL,2021-11-08 05:39:50,60.9167,-46.05,30.42,84,100,3.22
20,Tura,IN,2021-11-08 05:39:50,25.5198,90.2201,79.27,45,72,1.07
21,Katsuura,JP,2021-11-08 05:39:51,35.1333,140.3,69.84,61,65,16.82
22,Chokurdakh,RU,2021-11-08 05:39:51,70.6333,147.9167,-16.89,95,81,6.06
23,Puerto Madryn,AR,2021-11-08 05:39:51,-42.7692,-65.0385,60.44,47,67,7.9
24,Qaanaaq,GL,2021-11-08 05:38:47,77.484,-69.3632,1.81,69,58,7.45
25,Kawanoe,JP,2021-11-08 05:39:52,34.0167,133.5667,71.67,74,100,5.91
26,Chapais,CA,2021-11-08 05:39:52,49.7834,-74.8492,40.78,98,98,5.21
27,Muisne,EC,2021-11-08 05:39:52,0.6,-80.0333,74.21,85,100,9.42
28,Hithadhoo,MV,2021-11-08 05:39:46,-0.6,73.0833,82.96,67,95,15.01
29,Takanabe,JP,2021-11-08 05:39:53,32.1333,131.5,69.69,89,100,8.9
30,Ribeira Brava,PT,2021-11-08 05:39:53,32.65,-17.0667,66.83,65,11,6.6
31,Saint George,US,2021-11-08 05:36:06,37.1041,-113.5841,65.32,34,1,1.99
32,Korla,CN,2021-11-08 05:39:54,41.7597,86.1469,34.72,20,0,6.35
33,Qianjiang,CN,2021-11-08 05:39:54,30.4151,112.8859,54.82,35,2,5.12
34,Ullapool,GB,2021-11-08 05:39:54,57.8987,-5.1604,45.36,75,99,8.48
35,Butaritari,KI,2021-11-08 05:39:55,3.0707,172.7902,81.77,72,34,9.86
36,Tasiilaq,GL,2021-11-08 05:39:55,65.6145,-37.6368,26.76,72,100,3.96
37,Egvekinot,RU,2021-11-08 05:39:56,66.3167,-179.1667,0.77,80,51,1.61
38,Brewster,US,2021-11-08 05:39:56,41.3973,-73.6171,49.15,74,1,0.0
39,Odoyev,RU,2021-11-08 05:39:56,53.9393,36.6864,41.67,86,100,14.47
40,Bengkulu,ID,2021-11-08 05:39:57,-3.8004,102.2655,84.96,68,100,11.77
41,Amga,RU,2021-11-08 05:39:57,60.8953,131.9608,17.11,92,100,6.71
42,Madimba,TZ,2021-11-08 05:39:57,-10.4,40.3333,81.72,74,20,11.5
43,Kahului,US,2021-11-08 05:38:53,20.8947,-156.47,77.02,81,20,10.36
44,Kieta,PG,2021-11-08 05:40:58,-6.2167,155.6333,84.43,60,17,4.83
45,Fortuna,US,2021-11-08 05:40:58,40.5982,-124.1573,44.94,68,1,3.44
46,Vardo,NO,2021-11-08 05:40:58,70.3705,31.1107,23.2,74,99,14.94
47,Klaksvik,FO,2021-11-08 05:39:16,62.2266,-6.589,45.52,89,100,32.95
48,Wanning,CN,2021-11-08 05:40:59,18.8003,110.3967,71.83,87,79,14.67
49,Wangaratta,AU,2021-11-08 05:40:59,-36.3667,146.3333,74.16,37,0,8.05
50,Upernavik,GL,2021-11-08 05:41:00,72.7868,-56.1549,9.18,72,3,5.59
51,Kavaratti,IN,2021-11-08 05:41:00,10.5669,72.642,81.88,76,88,7.05
52,Ginda,IN,2021-11-08 05:41:00,30.6945,78.4932,66.13,21,0,3.78
53,La Ronge,CA,2021-11-08 05:41:01,55.1001,-105.2842,28.65,86,1,2.3
54,Barrow,US,2021-11-08 05:39:27,71.2906,-156.7887,24.82,63,90,17.27
55,Turayf,SA,2021-11-08 05:41:01,31.6725,38.6637,53.85,50,0,5.75
